what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1303940852071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303940865278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303940965611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303940998266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941023640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941027407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941116338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941298242
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1303941302789
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303941317641
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1303941322937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303941341511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941343078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941403305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941475693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941479787
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1303941514254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1303941528344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303941534149
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1303941562395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1303941573672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1303941577545
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1303941578547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941595218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941635550
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941639955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941701985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303941796129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303942759397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303942763323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303942901660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303942902567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303943535898
